"Name","Location","Layer","Tier","Price_INR_night","Rating","Maps_URL","Booking","Area","Notes"
"Moonlight View Cottage","Moonlight View Cottage, Jibhi, Himachal Pradesh","stays","under2500","2480","4.97 (88, Airbnb)","https://www.google.com/maps/search/?api=1&query=Moonlight%20View%20Cottage%2C%20Jibhi%2C%20Himachal%20Pradesh","https://www.airbnb.com/rooms/52829977","Jibhi hill","Proven hill quiet above market; cedar-wood, valley deck, 10â€“15 min walk to cafes."
"Bastiat Whispering Pines Cabin","Bastiat Stays Whispering Pines, Tandi, Jibhi","stays","stretch","2710","4.92 (236, Airbnb)","https://www.google.com/maps/search/?api=1&query=Bastiat%20Stays%20Whispering%20Pines%2C%20Tandi%2C%20Jibhi","https://www.airbnb.com/rooms/26117817","Tandi","236-review forest legacy; 360Â° Himalaya deck; no music after 8 pm."
"Latoda Tree House","Latoda Tree House, Ghiyagi, Jibhi","stays","stretch","2600","4.89 (200, Airbnb)","https://www.google.com/maps/search/?api=1&query=Latoda%20Tree%20House%2C%20Ghiyagi%2C%20Jibhi","https://www.airbnb.co.in/shoja-india/stays","Ghiyagi forest","Forest treehouse; peak couple-novelty pick."
"Wayward Inn Entire Place","Wayward Inn, Ghiyagi, Jibhi","stays","under2500","2240","4.78 (136, Airbnb)","https://www.google.com/maps/search/?api=1&query=Wayward%20Inn%2C%20Ghiyagi%2C%20Jibhi","https://www.airbnb.co.in/jibhi-india/stays","Ghiyagi","Whole place to yourselves in quiet Ghiyagi."
"Tandi Mountain Cottage","Tandi village, Jibhi, Banjar, Himachal Pradesh","stays","under2500","2120","4.82 (34, Airbnb)","https://www.google.com/maps/search/?api=1&query=Tandi%20village%2C%20Jibhi%2C%20Banjar%2C%20Himachal%20Pradesh","https://www.airbnb.co.in/jibhi-india/stays","Tandi","Village quiet above Jibhi; mountain aspect."
"Mudhouse Peaks N Valley","Mudhouse Peaks N Valley, Chhet, Jibhi","stays","stretch","2830","5.0 (14, Airbnb)","https://www.google.com/maps/search/?api=1&query=Mudhouse%20Peaks%20N%20Valley%2C%20Chhet%2C%20Jibhi","https://www.airbnb.co.in/rooms/1412122997309117906","Chhet","Secluded cliff cottage; splurge only."
"Lost Escape Riverside","The Lost Escape, Jibhi, Himachal Pradesh","stays","under2500","2000","5.0 (19, Airbnb)","https://www.google.com/maps/search/?api=1&query=The%20Lost%20Escape%2C%20Jibhi%2C%20Himachal%20Pradesh","https://www.airbnb.co.in/rooms/758357609524923692","Jibhi riverside","River isolation; sit-out over water; strong couple pick."
"Om Homestay Cottage","Om Homestay, Jibhi, Himachal Pradesh","stays","under2500","1890","5.0 (58, Airbnb)","https://www.google.com/maps/search/?api=1&query=Om%20Homestay%2C%20Jibhi%2C%20Himachal%20Pradesh","https://www.airbnb.co.in/jibhi-india/stays","Jibhi outskirts","5.0-rated budget cottage near market cafes."
"Serenity Wooden Cottage","Serenity Wooden Cottage, Jibhi, Himachal Pradesh","stays","under2500","2120","4.91 (100, Airbnb)","https://www.google.com/maps/search/?api=1&query=Serenity%20Wooden%20Cottage%2C%20Jibhi%2C%20Himachal%20Pradesh","https://www.airbnb.co.in/jibhi-india/stays","Jibhi outskirts","100-review wooden cosy; outskirts quiet."
"Hillhouse Sisters A-Frame","Hillhouse Sisters, Jibhi, Himachal Pradesh","stays","under2500","2360","4.95 (20, Airbnb)","https://www.google.com/maps/search/?api=1&query=Hillhouse%20Sisters%2C%20Jibhi%2C%20Himachal%20Pradesh","https://www.airbnb.co.in/rooms/1583118387367694595","Jibhi farm","A-frame farm stay; glass windows, valley views, ideal for couples."
